id,user_id,amount,transaction_type,origin_balance_before,origin_balance_after,location_country,is_fraud_ground_truth,occurred_at
T0023532,C100002486,89.76,PAYMENT,891.09,801.33,DE,False,2024-06-01 11:00:00
T0014367,C100001535,4037.23,PAYMENT,26944.45,22907.22,BR,False,2024-06-01 11:00:00
T0014012,C100001496,64.41,CASH_IN,441.84,506.25,NG,False,2024-06-01 12:00:00
T0026965,C100002849,131.46,PAYMENT,807.78,676.32,US,False,2024-06-01 12:00:00
T0014096,C100001506,86.61,TRANSFER,1243.43,1156.82,DE,False,2024-06-01 12:00:00
T0027616,C100002919,511.77,PAYMENT,3192.48,2680.71,CA,False,2024-06-01 13:00:00
T0023362,C100002470,173.81,PAYMENT,1286.68,1112.87,BR,False,2024-06-01 13:00:00
T0006918,C100000744,295.87,PAYMENT,1978.91,1683.04,DE,False,2024-06-01 13:00:00
T0028702,C100001971,3629.97,TRANSFER,11001.74,7371.77,IN,True,2024-06-01 13:00:00
T0020754,C100002200,76.13,CASH_OUT,167.76,91.63,IN,False,2024-06-01 14:00:00
T0028578,C100000101,11044.9,TRANSFER,11044.9,0.0,FR,True,2024-06-01 14:00:00
T0006201,C100000667,681.63,CASH_OUT,5088.55,4406.92,GB,False,2024-06-01 14:00:00
T0007186,C100000776,179.27,PAYMENT,2442.97,2263.7,BR,False,2024-06-01 15:00:00
T0009608,C100001027,1119.3,CASH_IN,8013.33,9132.63,IN,False,2024-06-01 16:00:00
T0023575,C100002491,349.79,CASH_OUT,2009.38,1659.59,SG,False,2024-06-01 16:00:00
T0026966,C100002849,99.46,CASH_IN,676.32,775.78,US,False,2024-06-01 17:00:00
T0018126,C100001922,2690.12,PAYMENT,6646.98,3956.86,BR,False,2024-06-01 17:00:00
T0010730,C100001144,330.15,PAYMENT,1948.05,1617.9,GB,False,2024-06-01 17:00:00
T0025106,C100002653,97.27,TRANSFER,2044.85,1947.58,IN,False,2024-06-01 17:00:00
T0010661,C100001137,110.84,PAYMENT,1597.87,1487.03,DE,False,2024-06-01 18:00:00
T0017179,C100001825,61.58,CASH_OUT,1269.82,1208.24,IN,False,2024-06-01 18:00:00
T0025345,C100002677,268.59,CASH_OUT,2686.06,2417.47,FR,False,2024-06-01 18:00:00
T0007021,C100000757,317.83,PAYMENT,4909.6,4591.77,AU,False,2024-06-01 18:00:00
T0019208,C100002031,116.45,PAYMENT,1197.37,1080.92,AU,False,2024-06-01 18:00:00
T0025066,C100002647,377.68,CASH_OUT,3207.45,2829.77,CA,False,2024-06-01 18:00:00
T0012235,C100001309,49.14,PAYMENT,1054.55,1005.41,SG,False,2024-06-01 19:00:00
T0013528,C100001441,561.91,CASH_OUT,7322.2,6760.29,FR,False,2024-06-01 20:00:00
T0020802,C100002204,620.22,CASH_OUT,3479.62,2859.4,BR,False,2024-06-01 20:00:00
T0027625,C100002920,74.13,DEBIT,646.95,572.82,GB,False,2024-06-01 20:00:00
T0014612,C100001562,294.9,CASH_IN,699.42,994.32,US,False,2024-06-01 20:00:00
T0004749,C100000512,61.17,CASH_IN,2434.35,2495.52,GB,False,2024-06-01 20:00:00
T0006919,C100000744,995.34,PAYMENT,1683.04,687.7,DE,False,2024-06-01 21:00:00
T0021929,C100002322,52.25,PAYMENT,241.78,189.53,GB,False,2024-06-01 21:00:00
T0019066,C100002018,138.32,PAYMENT,1370.55,1232.23,SG,False,2024-06-01 21:00:00
T0024262,C100002563,152.53,CASH_OUT,1988.19,1835.66,GB,False,2024-06-01 22:00:00
T0024664,C100002603,212.16,PAYMENT,672.88,460.72,IN,False,2024-06-01 22:00:00
T0020755,C100002200,40.77,PAYMENT,91.63,50.86,IN,False,2024-06-02 00:00:00
T0003185,C100000338,256.36,CASH_OUT,1821.85,1565.49,AU,False,2024-06-02 01:00:00
T0007441,C100000805,68.89,CASH_IN,1693.25,1762.14,AU,False,2024-06-02 01:00:00
T0000806,C100000085,733.81,PAYMENT,4807.87,4074.06,FR,False,2024-06-02 01:00:00
T0012448,C100001333,73.45,CASH_OUT,460.25,386.8,AU,False,2024-06-02 01:00:00
T0028381,C100000602,107.42,TRANSFER,517.48,410.06,CA,True,2024-06-02 01:00:00
T0015574,C100001666,3472.03,CASH_IN,15707.53,19179.56,FR,False,2024-06-02 01:00:00
T0021930,C100002322,62.75,CASH_OUT,189.53,126.78,NG,False,2024-06-02 02:00:00
T0006326,C100000680,109.26,CASH_IN,2207.36,2316.62,SG,False,2024-06-02 02:00:00
T0004860,C100000522,121.73,CASH_OUT,889.6,767.87,AU,False,2024-06-02 02:00:00
T0007116,C100000768,113.94,CASH_OUT,1491.82,1377.88,AU,False,2024-06-02 02:00:00
T0004108,C100000440,224.79,TRANSFER,1594.96,1370.17,CA,False,2024-06-02 02:00:00
T0015816,C100001690,476.26,CASH_IN,5244.92,5721.18,US,False,2024-06-02 02:00:00
T0008493,C100000911,244.72,TRANSFER,2069.57,1824.85,CA,False,2024-06-02 02:00:00
T0028031,C100002965,398.88,PAYMENT,2059.88,1661.0,US,False,2024-06-02 02:00:00
T0010671,C100001138,709.04,CASH_IN,3129.26,3838.3,AU,False,2024-06-02 02:00:00
T0010965,C100001171,172.41,TRANSFER,1205.91,1033.5,DE,False,2024-06-02 02:00:00
T0026470,C100002800,192.39,CASH_OUT,2935.28,2742.89,GB,False,2024-06-02 03:00:00
T0028396,C100000526,801.72,TRANSFER,3563.02,2761.3,AU,True,2024-06-02 03:00:00
T0026670,C100002819,1137.42,CASH_OUT,6295.47,5158.05,BR,False,2024-06-02 03:00:00
T0023125,C100002443,197.4,CASH_IN,1155.42,1352.82,AU,False,2024-06-02 03:00:00
T0000882,C100000093,578.78,PAYMENT,5439.36,4860.58,DE,False,2024-06-02 03:00:00
T0021781,C100002306,167.13,CASH_OUT,1511.79,1344.66,FR,False,2024-06-02 03:00:00
T0016930,C100001799,1975.81,PAYMENT,11459.67,9483.86,BR,False,2024-06-02 03:00:00
T0001639,C100000173,1018.82,CASH_OUT,6273.73,5254.91,FR,False,2024-06-02 04:00:00
T0007187,C100000776,180.59,CASH_OUT,2263.7,2083.11,BR,False,2024-06-02 04:00:00
T0026471,C100002800,383.28,CASH_OUT,2742.89,2359.61,GB,False,2024-06-02 04:00:00
T0009234,C100000987,159.77,CASH_OUT,1512.76,1352.99,US,False,2024-06-02 04:00:00
T0019548,C100002070,248.27,CASH_IN,5498.83,5747.1,CA,False,2024-06-02 04:00:00
T0019386,C100002051,255.61,CASH_IN,551.37,806.98,GB,False,2024-06-02 04:00:00
T0008123,C100000876,373.46,CASH_IN,1701.45,2074.91,NG,False,2024-06-02 04:00:00
T0028449,C100001517,2444.3,TRANSFER,2444.3,0.0,DE,True,2024-06-02 04:00:00
T0025271,C100002668,1597.05,CASH_OUT,5554.54,3957.49,SG,False,2024-06-02 05:00:00
T0025107,C100002653,184.85,CASH_OUT,1947.58,1762.73,IN,False,2024-06-02 05:00:00
T0028368,C100001340,25879.58,TRANSFER,25879.58,0.0,SG,True,2024-06-02 05:00:00
T0002879,C100000306,59.74,CASH_IN,851.01,910.75,DE,False,2024-06-02 06:00:00
T0028431,C100002863,2915.65,TRANSFER,12355.14,9439.49,NG,True,2024-06-02 06:00:00
T0024796,C100002618,139.01,CASH_OUT,1854.06,1715.05,CA,False,2024-06-02 06:00:00
T0027566,C100002913,738.5,CASH_IN,4153.56,4892.06,GB,False,2024-06-02 06:00:00
T0015734,C100001682,4651.27,PAYMENT,6441.21,1789.94,NG,False,2024-06-02 06:00:00
T0006383,C100000686,87.84,PAYMENT,1971.8,1883.96,GB,False,2024-06-02 06:00:00
T0027267,C100002883,340.57,CASH_OUT,2642.58,2302.01,DE,False,2024-06-02 06:00:00
T0010423,C100001113,553.91,CASH_OUT,1185.97,632.06,CA,False,2024-06-02 07:00:00
T0023363,C100002470,164.65,TRANSFER,1112.87,948.22,BR,False,2024-06-02 07:00:00
T0024665,C100002603,95.54,CASH_IN,460.72,556.26,IN,False,2024-06-02 07:00:00
T0007880,C100000851,811.73,CASH_OUT,6683.6,5871.87,CA,False,2024-06-02 07:00:00
T0015479,C100001655,58.97,CASH_OUT,188.5,129.53,GB,False,2024-06-02 07:00:00
T0014472,C100001546,322.91,PAYMENT,1934.65,1611.74,BR,False,2024-06-02 07:00:00
T0014097,C100001506,75.67,CASH_IN,1156.82,1232.49,DE,False,2024-06-02 07:00:00
T0021902,C100002319,2566.53,PAYMENT,7963.65,5397.12,DE,False,2024-06-02 07:00:00
T0003186,C100000338,134.41,CASH_OUT,1565.49,1431.08,AU,False,2024-06-02 07:00:00
T0003246,C100000344,22.44,CASH_OUT,440.78,418.34,BR,False,2024-06-02 08:00:00
T0022307,C100002364,301.16,PAYMENT,1405.15,1103.99,DE,False,2024-06-02 08:00:00
T0002537,C100000266,70.97,PAYMENT,1469.46,1398.49,SG,False,2024-06-02 08:00:00
T0019325,C100002042,72.73,PAYMENT,1629.11,1556.38,FR,False,2024-06-02 08:00:00
T0008584,C100000921,642.04,CASH_OUT,2380.65,1738.61,NG,False,2024-06-02 08:00:00
T0012270,C100001314,1259.75,CASH_OUT,1259.75,0.0,SG,False,2024-06-02 08:00:00
T0028539,C100000178,25084.27,TRANSFER,25084.27,0.0,SG,True,2024-06-02 09:00:00
T0027617,C100002919,623.86,CASH_OUT,2680.71,2056.85,CA,False,2024-06-02 09:00:00
T0015565,C100001664,511.34,CASH_OUT,3713.62,3202.28,SG,False,2024-06-02 09:00:00
T0024192,C100002556,94.54,PAYMENT,1189.37,1094.83,GB,False,2024-06-02 09:00:00
T0020308,C100002152,1283.15,PAYMENT,9940.62,8657.47,US,False,2024-06-02 09:00:00
T0022521,C100002385,94.14,CASH_OUT,158.35,64.21,AU,False,2024-06-02 09:00:00
T0023364,C100002470,610.21,CASH_OUT,948.22,338.01,BR,False,2024-06-02 09:00:00
T0006327,C100000680,91.13,CASH_IN,2316.62,2407.75,SG,False,2024-06-02 09:00:00
T0003289,C100000350,775.09,PAYMENT,3137.14,2362.05,GB,False,2024-06-02 09:00:00
T0011830,C100001265,29.38,PAYMENT,133.68,104.3,CA,False,2024-06-02 09:00:00
T0027962,C100002957,524.84,CASH_IN,3486.83,4011.67,AU,False,2024-06-02 09:00:00
T0021782,C100002306,348.09,CASH_OUT,1344.66,996.57,FR,False,2024-06-02 10:00:00
T0022308,C100002364,162.62,CASH_OUT,1103.99,941.37,DE,False,2024-06-02 10:00:00
T0010887,C100001162,59.84,PAYMENT,388.95,329.11,BR,False,2024-06-02 10:00:00
T0007970,C100000861,12.11,CASH_OUT,357.89,345.78,NG,False,2024-06-02 10:00:00
T0000768,C100000080,377.36,PAYMENT,2318.57,1941.21,IN,False,2024-06-02 10:00:00
T0008255,C100000888,1276.2,PAYMENT,8479.98,7203.78,GB,False,2024-06-02 10:00:00
T0027268,C100002883,317.46,CASH_IN,2302.01,2619.47,DE,False,2024-06-02 10:00:00
T0019163,C100002027,186.66,CASH_OUT,929.75,743.09,US,False,2024-06-02 10:00:00
T0004433,C100000477,11.39,PAYMENT,356.63,345.24,BR,False,2024-06-02 10:00:00
T0028620,C100002137,370.15,TRANSFER,1661.16,1291.01,US,True,2024-06-02 10:00:00
T0013989,C100001494,47.13,CASH_OUT,206.36,159.23,FR,False,2024-06-02 10:00:00
T0012522,C100001341,324.59,CASH_OUT,3132.49,2807.9,IN,False,2024-06-02 11:00:00
T0008688,C100000931,40.86,CASH_OUT,259.01,218.15,US,False,2024-06-02 11:00:00
T0021698,C100002298,44.36,PAYMENT,583.89,539.53,GB,False,2024-06-02 11:00:00
T0000807,C100000085,236.75,CASH_OUT,4074.06,3837.31,FR,False,2024-06-02 11:00:00
T0027786,C100002937,115.62,CASH_OUT,1122.8,1007.18,BR,False,2024-06-02 11:00:00
T0007064,C100000762,66.66,CASH_OUT,1374.04,1307.38,BR,False,2024-06-02 11:00:00
T0009235,C100000987,367.89,PAYMENT,1352.99,985.1,US,False,2024-06-02 11:00:00
T0025979,C100002748,2498.46,PAYMENT,11812.69,9314.23,AU,False,2024-06-02 11:00:00
T0019549,C100002070,324.7,CASH_OUT,5747.1,5422.4,CA,False,2024-06-02 11:00:00
T0024193,C100002556,116.68,CASH_OUT,1094.83,978.15,GB,False,2024-06-02 11:00:00
T0012772,C100001367,192.3,PAYMENT,812.7,620.4,GB,False,2024-06-02 11:00:00
T0000476,C100000050,566.21,CASH_OUT,3094.83,2528.62,AU,False,2024-06-02 11:00:00
T0003643,C100000391,745.48,PAYMENT,4463.69,3718.21,BR,False,2024-06-02 12:00:00
T0025272,C100002668,1055.94,CASH_OUT,3957.49,2901.55,SG,False,2024-06-02 12:00:00
T0026568,C100002809,646.42,PAYMENT,4453.56,3807.14,FR,False,2024-06-02 12:00:00
T0028479,C100000603,24743.69,TRANSFER,24743.69,0.0,IN,True,2024-06-02 12:00:00
T0000883,C100000093,317.8,PAYMENT,4860.58,4542.78,CA,False,2024-06-02 12:00:00
T0010182,C100001089,61.31,CASH_OUT,616.21,554.9,CA,False,2024-06-02 12:00:00
T0028365,C100002356,3326.74,TRANSFER,17841.27,14514.53,DE,True,2024-06-02 13:00:00
T0020756,C100002200,75.56,CASH_IN,50.86,126.42,IN,False,2024-06-02 13:00:00
T0016578,C100001767,373.29,CASH_IN,4400.54,4773.83,US,False,2024-06-02 13:00:00
T0027787,C100002937,673.84,CASH_IN,1007.18,1681.02,BR,False,2024-06-02 13:00:00
T0010672,C100001138,181.2,PAYMENT,3838.3,3657.1,AU,False,2024-06-02 13:00:00
T0027626,C100002920,61.66,CASH_IN,572.82,634.48,GB,False,2024-06-02 13:00:00
T0022072,C100002339,257.47,CASH_OUT,1623.93,1366.46,IN,False,2024-06-02 13:00:00
T0028679,C100001725,3268.89,TRANSFER,3268.89,0.0,US,True,2024-06-02 13:00:00
T0013462,C100001435,550.43,CASH_IN,1691.22,2241.65,CA,False,2024-06-02 13:00:00
T0019387,C100002051,67.71,TRANSFER,806.98,739.27,GB,False,2024-06-02 13:00:00
T0008319,C100000893,1505.86,CASH_OUT,7424.49,5918.63,DE,False,2024-06-02 14:00:00
T0023126,C100002443,117.7,PAYMENT,1352.82,1235.12,AU,False,2024-06-02 14:00:00
T0020309,C100002152,1577.82,PAYMENT,8657.47,7079.65,IN,False,2024-06-02 14:00:00
T0028475,C100002357,705.02,TRANSFER,2498.64,1793.62,NG,True,2024-06-02 14:00:00
T0027336,C100002891,21.9,TRANSFER,472.76,450.86,IN,False,2024-06-02 14:00:00
T0012236,C100001309,83.21,PAYMENT,1005.41,922.2,NG,False,2024-06-02 14:00:00
T0007971,C100000861,45.03,CASH_IN,345.78,390.81,NG,False,2024-06-02 14:00:00
T0027269,C100002883,435.53,PAYMENT,2619.47,2183.94,DE,False,2024-06-02 15:00:00
T0012582,C100001348,24.89,TRANSFER,223.82,198.93,SG,False,2024-06-02 15:00:00
T0006202,C100000667,400.24,CASH_IN,4406.92,4807.16,GB,False,2024-06-02 15:00:00
T0019424,C100002056,517.41,CASH_OUT,3371.06,2853.65,CA,False,2024-06-02 15:00:00
T0020757,C100002200,75.82,CASH_IN,126.42,202.24,IN,False,2024-06-02 15:00:00
T0018268,C100001935,949.32,CASH_IN,16351.91,17301.23,BR,False,2024-06-02 15:00:00
T0028526,C100000968,644.97,TRANSFER,3055.24,2410.27,DE,True,2024-06-02 16:00:00
T0016677,C100001776,307.65,PAYMENT,4419.83,4112.18,FR,False,2024-06-02 16:00:00
T0026556,C100002808,1309.72,PAYMENT,8771.64,7461.92,IN,False,2024-06-02 16:00:00
T0015817,C100001690,796.64,CASH_IN,5721.18,6517.82,US,False,2024-06-02 16:00:00
T0004200,C100000449,1172.74,CASH_OUT,5142.42,3969.68,IN,False,2024-06-02 16:00:00
T0026671,C100002819,462.45,TRANSFER,5158.05,4695.6,BR,False,2024-06-02 16:00:00
T0017897,C100001899,22.28,PAYMENT,611.43,589.15,SG,False,2024-06-02 16:00:00
T0010326,C100001103,3533.04,PAYMENT,20066.48,16533.44,US,False,2024-06-02 16:00:00
T0008689,C100000931,63.46,CASH_IN,218.15,281.61,US,False,2024-06-02 16:00:00
T0002880,C100000306,64.98,CASH_IN,910.75,975.73,DE,False,2024-06-02 16:00:00
T0015818,C100001690,319.79,PAYMENT,6517.82,6198.03,CA,False,2024-06-02 17:00:00
T0012271,C100001314,374.62,PAYMENT,0.0,0.0,SG,False,2024-06-02 17:00:00
T0001640,C100000173,1491.43,CASH_IN,5254.91,6746.34,FR,False,2024-06-02 17:00:00
T0017946,C100001904,70.75,CASH_OUT,804.45,733.7,GB,False,2024-06-02 17:00:00
T0016189,C100001729,392.92,CASH_OUT,1526.23,1133.31,NG,False,2024-06-02 17:00:00
T0010888,C100001162,38.32,CASH_OUT,329.11,290.79,BR,False,2024-06-02 17:00:00
T0025346,C100002677,1002.06,CASH_IN,2417.47,3419.53,FR,False,2024-06-02 17:00:00
T0002902,C100000308,83.4,CASH_OUT,396.1,312.7,US,False,2024-06-02 17:00:00
T0002277,C100000238,715.86,CASH_OUT,7181.29,6465.43,AU,False,2024-06-02 17:00:00
T0016555,C100001764,737.31,CASH_OUT,2739.0,2001.69,IN,False,2024-06-02 18:00:00
T0007117,C100000768,60.84,CASH_IN,1377.88,1438.72,AU,False,2024-06-02 18:00:00
T0003187,C100000338,60.32,TRANSFER,1431.08,1370.76,AU,False,2024-06-02 18:00:00
T0016931,C100001799,5297.44,CASH_OUT,9483.86,4186.42,BR,False,2024-06-02 18:00:00
T0028032,C100002965,198.25,PAYMENT,1661.0,1462.75,US,False,2024-06-02 18:00:00
T0015370,C100001643,72.51,CASH_OUT,549.38,476.87,US,False,2024-06-02 19:00:00
T0004346,C100000467,285.51,CASH_IN,2744.78,3030.29,DE,False,2024-06-02 19:00:00
T0010662,C100001137,113.99,CASH_OUT,1487.03,1373.04,DE,False,2024-06-02 19:00:00
T0013529,C100001441,193.49,CASH_OUT,6760.29,6566.8,FR,False,2024-06-02 19:00:00
T0020628,C100002185,119.75,CASH_IN,820.87,940.62,NG,False,2024-06-02 19:00:00
T0002538,C100000266,119.58,PAYMENT,1398.49,1278.91,GB,False,2024-06-02 19:00:00
T0010702,C100001141,109.34,CASH_OUT,631.7,522.36,AU,False,2024-06-02 20:00:00
T0025582,C100002702,14.54,PAYMENT,155.5,140.96,FR,False,2024-06-02 20:00:00
T0024483,C100002585,393.67,CASH_OUT,3842.09,3448.42,SG,False,2024-06-02 20:00:00
T0004109,C100000440,56.19,CASH_OUT,1370.17,1313.98,CA,False,2024-06-02 20:00:00
T0008709,C100000933,311.46,CASH_OUT,2238.81,1927.35,CA,False,2024-06-02 21:00:00
T0020629,C100002185,129.16,CASH_IN,940.62,1069.78,NG,False,2024-06-02 21:00:00
T0025108,C100002653,112.88,CASH_IN,1762.73,1875.61,IN,False,2024-06-02 21:00:00
T0008585,C100000921,872.08,CASH_OUT,1738.61,866.53,NG,False,2024-06-02 21:00:00
T0027788,C100002937,259.01,CASH_IN,1681.02,1940.03,BR,False,2024-06-02 21:00:00
T0007512,C100000812,146.41,PAYMENT,814.17,667.76,NG,False,2024-06-02 21:00:00
T0007286,C100000787,409.86,PAYMENT,2608.55,2198.69,US,False,2024-06-02 21:00:00
T0003011,C100000320,448.62,PAYMENT,4728.0,4279.38,US,False,2024-06-02 21:00:00
T0015362,C100001642,167.56,CASH_OUT,3668.27,3500.71,CA,False,2024-06-02 21:00:00
T0021931,C100002322,86.16,CASH_OUT,126.78,40.62,AU,False,2024-06-02 22:00:00
T0005913,C100000633,782.74,PAYMENT,6662.77,5880.03,SG,False,2024-06-02 22:00:00
T0014368,C100001535,1368.84,CASH_IN,22907.22,24276.06,BR,False,2024-06-02 22:00:00
T0011773,C100001259,389.29,CASH_OUT,2888.96,2499.67,US,False,2024-06-02 22:00:00
T0017947,C100001904,151.35,TRANSFER,733.7,582.35,GB,False,2024-06-02 22:00:00
T0016818,C100001789,653.72,CASH_OUT,1655.1,1001.38,BR,False,2024-06-02 22:00:00
T0015735,C100001682,1789.94,CASH_OUT,1789.94,0.0,NG,False,2024-06-02 22:00:00
T0027017,C100002855,158.41,PAYMENT,834.8,676.39,BR,False,2024-06-02 23:00:00
T0003924,C100000420,87.98,TRANSFER,480.03,392.05,BR,False,2024-06-02 23:00:00
T0006920,C100000744,685.44,PAYMENT,687.7,2.26,DE,False,2024-06-02 23:00:00
T0018127,C100001922,566.68,CASH_OUT,3956.86,3390.18,BR,False,2024-06-02 23:00:00
T0025347,C100002677,767.38,PAYMENT,3419.53,2652.15,FR,False,2024-06-02 23:00:00
T0003188,C100000338,290.92,CASH_OUT,1370.76,1079.84,AU,False,2024-06-02 23:00:00
T0016819,C100001789,154.74,CASH_OUT,1001.38,846.64,BR,False,2024-06-02 23:00:00
T0028632,C100001921,459.98,TRANSFER,1709.02,1249.04,NG,True,2024-06-02 23:00:00
T0028736,C100001611,900.07,TRANSFER,2873.67,1973.6,AU,True,2024-06-02 23:00:00
T0016820,C100001789,177.57,PAYMENT,846.64,669.07,BR,False,2024-06-03 00:00:00
T0028033,C100002965,180.47,CASH_IN,1462.75,1643.22,US,False,2024-06-03 00:00:00
T0012076,C100001291,212.2,PAYMENT,978.44,766.24,CA,False,2024-06-03 00:00:00
T0019955,C100002114,43.97,TRANSFER,290.64,246.67,DE,False,2024-06-03 00:00:00
T0004750,C100000512,103.88,PAYMENT,2495.52,2391.64,GB,False,2024-06-03 00:00:00
T0014473,C100001546,802.48,PAYMENT,1611.74,809.26,BR,False,2024-06-03 00:00:00
T0027627,C100002920,41.43,PAYMENT,634.48,593.05,GB,False,2024-06-03 00:00:00
T0019209,C100002031,183.56,PAYMENT,1080.92,897.36,AU,False,2024-06-03 00:00:00
T0012583,C100001348,22.39,CASH_OUT,198.93,176.54,SG,False,2024-06-03 00:00:00
T0019365,C100002048,248.42,CASH_IN,1559.93,1808.35,DE,False,2024-06-03 01:00:00
T0012603,C100001350,151.96,CASH_IN,974.83,1126.79,NG,False,2024-06-03 01:00:00
T0012914,C100001380,146.74,PAYMENT,3422.54,3275.8,CA,False,2024-06-03 01:00:00
T0026967,C100002849,244.74,PAYMENT,775.78,531.04,US,False,2024-06-03 01:00:00
T0008320,C100000893,575.8,PAYMENT,5918.63,5342.83,DE,False,2024-06-03 01:00:00
T0009236,C100000987,246.78,CASH_OUT,985.1,738.32,US,False,2024-06-03 01:00:00
T0026794,C100002831,258.23,CASH_OUT,1753.22,1494.99,GB,False,2024-06-03 01:00:00
T0007287,C100000787,214.55,CASH_IN,2198.69,2413.24,US,False,2024-06-03 01:00:00
T0004110,C100000440,219.11,CASH_IN,1313.98,1533.09,CA,False,2024-06-03 01:00:00
T0020252,C100002147,83.73,CASH_OUT,737.4,653.67,AU,False,2024-06-03 01:00:00
T0012773,C100001367,106.1,TRANSFER,620.4,514.3,GB,False,2024-06-03 02:00:00
T0024194,C100002556,125.62,CASH_IN,978.15,1103.77,GB,False,2024-06-03 02:00:00
T0001641,C100000173,925.1,CASH_IN,6746.34,7671.44,FR,False,2024-06-03 02:00:00
T0017948,C100001904,121.57,TRANSFER,582.35,460.78,GB,False,2024-06-03 02:00:00
T0008448,C100000906,382.42,CASH_OUT,2486.47,2104.05,SG,False,2024-06-03 02:00:00
T0003773,C100000404,137.58,CASH_OUT,3291.94,3154.36,FR,False,2024-06-03 02:00:00
T0006203,C100000667,538.89,TRANSFER,4807.16,4268.27,GB,False,2024-06-03 02:00:00
T0016556,C100001764,2001.69,PAYMENT,2001.69,0.0,GB,False,2024-06-03 02:00:00
T0028469,C100000858,34250.09,TRANSFER,34250.09,0.0,DE,True,2024-06-03 02:00:00
T0013668,C100001456,1821.49,PAYMENT,14701.6,12880.11,BR,False,2024-06-03 03:00:00
T0011870,C100001268,25.82,CASH_OUT,460.27,434.45,US,False,2024-06-03 03:00:00
T0008156,C100000879,216.33,CASH_IN,1392.54,1608.87,US,False,2024-06-03 03:00:00
T0012224,C100001308,57.73,PAYMENT,1341.81,1284.08,AU,False,2024-06-03 03:00:00
T0007972,C100000861,17.79,CASH_OUT,390.81,373.02,NG,False,2024-06-03 03:00:00
T0021753,C100002303,174.03,CASH_OUT,570.25,396.22,IN,False,2024-06-03 03:00:00
T0020803,C100002204,628.81,PAYMENT,2859.4,2230.59,BR,False,2024-06-03 04:00:00
T0023142,C100002446,1006.27,PAYMENT,6381.41,5375.14,FR,False,2024-06-03 04:00:00
T0027337,C100002891,175.66,CASH_OUT,450.86,275.2,IN,False,2024-06-03 04:00:00
T0022346,C100002368,96.18,CASH_IN,533.67,629.85,NG,False,2024-06-03 04:00:00
T0003021,C100000321,147.73,PAYMENT,2522.22,2374.49,GB,False,2024-06-03 04:00:00
T0004945,C100000531,265.65,PAYMENT,5764.5,5498.85,US,False,2024-06-03 04:00:00
T0027963,C100002957,1218.01,PAYMENT,4011.67,2793.66,SG,False,2024-06-03 04:00:00
