user_id,account_created,home_country,typical_transaction_amount,travel_frequency
C100000063,2020-02-18,GB,72.96,never
C100000064,2022-04-24,SG,2517.51,never
C100000065,2022-08-24,BR,555.27,never
C100000066,2020-05-17,AU,175.19,never
C100000067,2022-06-21,SG,853.22,rare
C100000068,2023-08-15,GB,486.72,rare
C100000069,2022-01-30,US,1747.83,rare
C100000070,2020-10-21,IN,52.05,rare
C100000071,2023-03-07,IN,187.66,never
C100000072,2022-02-08,DE,154.08,frequent
C100000073,2023-05-31,SG,34.0,rare
C100000074,2021-03-26,BR,706.5,rare
C100000075,2022-01-21,SG,186.72,rare
C100000076,2022-08-17,GB,512.67,never
C100000077,2023-01-12,AU,2590.93,never
C100000078,2021-09-16,DE,171.87,never
C100000079,2021-04-19,IN,160.59,never
C100000080,2020-03-28,IN,275.52,never
C100000081,2022-03-17,AU,656.71,never
C100000082,2023-04-17,DE,138.84,never
C100000083,2020-08-29,DE,130.2,frequent
C100000084,2021-06-15,FR,704.29,rare
C100000085,2021-03-06,FR,357.32,rare
C100000086,2023-07-16,GB,31.67,never
C100000087,2022-09-12,GB,71.85,rare
C100000088,2020-11-29,DE,1097.99,frequent
C100000089,2020-08-29,IN,365.74,rare
C100000090,2022-03-20,FR,114.18,rare
C100000091,2020-10-08,FR,206.35,never
C100000092,2020-08-16,SG,247.95,never
C100000093,2022-05-27,DE,510.67,rare
C100000094,2020-05-27,CA,62.91,frequent
C100000095,2022-10-16,SG,105.54,never
C100000096,2022-12-25,GB,321.49,never
C100000097,2021-04-01,FR,221.44,never
C100000098,2021-06-05,GB,433.49,never
C100000099,2023-05-17,DE,71.56,frequent
C100000100,2020-08-29,FR,349.72,rare
C100000101,2023-02-20,GB,728.93,never
C100000102,2020-10-07,US,398.15,never
C100000103,2023-11-22,IN,281.21,never
C100000104,2020-10-19,SG,222.32,never
C100000105,2020-11-02,FR,106.18,rare
C100000106,2020-11-12,AU,227.69,rare
C100000107,2021-04-26,FR,862.39,rare
C100000108,2022-01-27,CA,217.23,never
C100000109,2021-02-27,DE,100.5,rare
C100000110,2022-11-01,BR,149.57,rare
C100000111,2020-11-11,SG,299.12,never
C100000112,2021-09-29,US,168.42,rare
C100000113,2022-02-14,CA,397.54,rare
C100000114,2021-12-09,FR,412.75,rare
C100000115,2021-09-10,IN,595.25,never
C100000116,2023-10-10,NG,1015.93,never
C100000117,2023-05-17,NG,662.39,never
C100000118,2022-12-16,US,96.14,never
C100000119,2023-06-22,AU,99.13,never
C100000120,2022-03-14,NG,226.84,rare
C100000121,2021-04-21,CA,155.84,never
C100000122,2021-05-11,IN,78.39,never
C100000123,2022-01-28,NG,157.32,frequent
C100000124,2020-07-28,IN,152.24,rare
C100000125,2021-09-15,AU,124.98,never
C100000126,2023-08-11,AU,178.43,rare
C100000127,2020-12-04,CA,795.09,never
C100000128,2021-09-02,BR,298.64,never
C100000129,2021-06-08,SG,2898.1,rare
C100000130,2021-09-15,FR,290.18,never
C100000131,2021-10-02,IN,183.08,never
C100000132,2023-07-26,SG,245.71,never
C100000133,2021-09-24,US,316.24,rare
C100000134,2020-10-22,SG,378.14,never
C100000135,2022-09-24,US,1952.2,rare
C100000136,2021-07-23,BR,105.08,never
C100000137,2023-10-19,IN,577.7,rare
C100000138,2022-07-24,IN,301.19,never
C100000139,2022-03-18,IN,50.85,never
C100000140,2020-01-27,IN,528.85,rare
C100000141,2023-01-30,IN,869.24,rare
C100000142,2022-11-02,IN,103.84,never
C100000143,2022-04-27,BR,242.52,never
C100000144,2020-01-13,SG,43.58,never
C100000145,2020-07-30,BR,69.49,never
C100000146,2023-10-14,NG,697.87,rare
C100000147,2023-01-02,AU,153.48,never
C100000148,2020-09-14,CA,80.74,rare
C100000149,2023-09-10,GB,307.8,never
C100000150,2020-07-27,SG,145.12,never
C100000151,2022-10-26,DE,152.81,never
C100000152,2020-04-29,GB,512.51,never
C100000153,2022-10-09,SG,76.57,never
C100000154,2022-03-21,US,98.95,frequent
C100000155,2021-04-30,AU,285.45,never
C100000156,2023-06-05,SG,645.1,rare
C100000157,2021-09-27,CA,844.01,never
C100000158,2021-12-10,NG,125.83,never
C100000159,2020-11-07,AU,624.77,never
C100000160,2020-01-08,GB,111.7,never
C100000161,2021-04-27,AU,1519.61,rare
C100000162,2022-04-26,GB,78.75,rare
C100000163,2022-04-30,FR,923.78,rare
C100000164,2022-04-14,GB,126.91,rare
C100000165,2020-09-24,IN,1832.15,never
C100000166,2022-08-30,SG,442.0,never
C100000167,2023-04-08,DE,88.59,rare
C100000168,2022-08-11,AU,145.15,never
C100000169,2023-10-31,NG,534.42,never
C100000170,2023-07-04,NG,701.1,frequent
C100000171,2023-07-27,CA,227.99,frequent
C100000172,2020-11-24,IN,255.87,rare
C100000173,2021-02-03,FR,522.36,never
C100000174,2021-03-11,CA,279.16,rare
C100000175,2022-02-10,BR,67.12,never
C100000176,2021-02-10,NG,108.53,never
C100000177,2023-04-16,DE,309.55,never
C100000178,2020-05-24,DE,825.08,frequent
C100000179,2021-12-16,GB,1231.49,frequent
C100000180,2020-03-31,DE,533.54,rare
C100000181,2023-04-29,GB,326.13,never
C100000182,2021-12-21,SG,517.4,never
C100000183,2021-03-12,US,125.62,never
C100000184,2021-12-24,NG,209.93,frequent
C100000185,2022-03-04,CA,107.33,never
C100000186,2023-04-09,SG,70.19,never
C100000187,2022-06-06,IN,341.57,rare
C100000188,2022-12-26,US,294.57,never
C100000189,2022-09-27,AU,486.7,rare
C100000190,2021-03-30,US,422.47,never
C100000191,2021-06-14,NG,311.89,rare
C100000192,2021-07-17,NG,426.93,never
C100000193,2022-07-03,GB,234.47,never
C100000194,2020-02-29,SG,369.77,never
C100000195,2023-07-30,GB,118.37,never
C100000196,2022-07-31,DE,354.14,rare
C100000197,2023-06-17,AU,477.43,never
C100000198,2022-08-05,CA,125.25,never
C100000199,2020-02-26,DE,257.71,rare
C100000200,2022-06-27,CA,131.16,never
C100000201,2020-05-12,CA,144.53,rare
C100000202,2021-12-25,SG,79.45,rare
C100000203,2021-03-07,GB,867.64,never
C100000204,2022-02-16,DE,710.3,rare
C100000205,2022-11-17,NG,418.82,never
C100000206,2020-12-05,CA,1758.46,never
C100000207,2020-02-16,AU,202.5,never
C100000208,2022-11-21,IN,5073.38,rare
C100000209,2020-11-14,DE,194.9,rare
C100000210,2022-11-24,CA,315.83,rare
C100000211,2021-02-10,DE,164.39,frequent
C100000212,2020-10-30,FR,355.07,never
C100000213,2022-02-28,CA,564.32,frequent
C100000214,2021-01-13,BR,218.35,rare
C100000215,2022-11-08,DE,1446.24,frequent
C100000216,2023-08-11,US,310.8,frequent
C100000217,2023-07-18,IN,320.69,frequent
C100000218,2022-03-03,CA,98.59,never
C100000219,2020-05-21,IN,371.85,rare
C100000220,2023-06-03,NG,214.0,rare
C100000221,2022-02-19,DE,133.19,rare
C100000222,2021-03-01,SG,112.56,never
C100000223,2023-02-16,SG,3539.58,frequent
C100000224,2021-02-04,NG,188.02,never
C100000225,2022-09-21,SG,57.0,never
C100000226,2020-10-02,BR,121.73,rare
C100000227,2021-08-26,FR,232.39,never
C100000228,2021-10-11,SG,422.7,rare
C100000229,2023-03-25,AU,426.15,never
C100000230,2022-02-08,AU,481.36,rare
C100000231,2020-07-26,DE,128.4,rare
C100000232,2023-11-05,NG,343.93,never
C100000233,2020-12-13,US,101.89,rare
C100000234,2021-12-28,BR,131.68,never
C100000235,2021-02-07,BR,97.74,rare
C100000236,2021-04-28,FR,74.56,frequent
C100000237,2022-03-25,CA,709.25,never
C100000238,2022-09-17,AU,487.17,rare
C100000239,2021-06-18,US,649.8,rare
C100000240,2023-05-16,DE,254.5,rare
C100000241,2021-08-19,DE,532.09,rare
C100000242,2023-07-20,AU,42.04,never
C100000243,2021-05-17,BR,580.03,rare
C100000244,2021-06-16,SG,292.11,never
C100000245,2023-08-04,AU,458.11,never
C100000246,2020-12-14,SG,357.82,frequent
C100000247,2022-04-17,US,91.19,never
C100000248,2020-11-02,GB,54.71,rare
C100000249,2023-10-04,FR,120.05,never
C100000250,2023-03-21,FR,430.49,rare
C100000251,2021-12-26,SG,487.89,rare
C100000252,2023-03-08,GB,62.31,never
C100000253,2022-08-18,FR,91.73,never
C100000254,2021-05-02,DE,118.72,never
C100000255,2023-05-10,GB,171.18,frequent
C100000256,2021-04-07,GB,62.67,rare
C100000257,2023-07-08,GB,59.02,never
C100000258,2023-03-27,BR,107.57,rare
C100000259,2021-08-14,IN,266.73,never
C100000260,2020-10-24,IN,75.14,never
C100000261,2023-04-03,IN,217.93,never
C100000262,2022-09-30,SG,705.25,never
C100000263,2020-04-19,AU,66.57,rare
C100000264,2020-01-17,BR,199.05,frequent
C100000265,2021-08-24,NG,681.81,frequent
C100000266,2022-03-03,SG,161.05,frequent
C100000267,2022-07-24,NG,137.87,never
C100000268,2021-07-10,GB,783.28,never
C100000269,2021-08-09,CA,180.15,rare
C100000270,2022-10-07,GB,738.41,frequent
C100000271,2023-10-31,IN,375.77,rare
C100000272,2023-04-30,NG,173.67,never
C100000273,2020-03-02,IN,395.32,rare
C100000274,2022-04-14,DE,337.12,rare
C100000275,2022-01-12,CA,679.18,frequent
C100000276,2022-02-03,US,141.41,rare
C100000277,2020-11-08,DE,254.99,never
C100000278,2023-09-01,CA,230.09,never
C100000279,2023-08-06,SG,494.8,never
C100000280,2022-11-03,US,87.78,never
C100000281,2022-01-06,SG,676.53,frequent
C100000282,2021-04-17,CA,390.07,rare
C100000283,2021-12-31,US,65.57,never
C100000284,2022-03-12,IN,819.15,never
C100000285,2020-03-31,IN,2284.94,rare
C100000286,2023-04-16,GB,666.36,rare
C100000287,2021-09-06,DE,1019.42,never
C100000288,2021-10-18,GB,266.5,frequent
C100000289,2022-01-24,GB,46.46,never
C100000290,2020-10-04,IN,38.7,never
C100000291,2022-11-16,IN,315.79,never
C100000292,2020-03-09,DE,135.37,rare
C100000293,2022-08-15,DE,98.04,rare
C100000294,2021-10-14,GB,229.81,frequent
C100000295,2021-11-18,SG,452.86,never
C100000296,2020-08-04,DE,57.24,frequent
C100000297,2022-03-15,CA,156.2,rare
C100000298,2022-10-22,BR,1107.51,never
C100000299,2023-11-02,AU,83.49,never
C100000300,2022-06-30,NG,583.92,never
C100000301,2020-09-07,DE,150.7,frequent
C100000302,2023-11-18,NG,422.33,never
C100000303,2020-05-30,DE,733.13,never
C100000304,2021-10-17,GB,513.52,rare
C100000305,2023-05-16,DE,607.38,frequent
C100000306,2022-09-26,DE,77.36,rare
C100000307,2021-10-01,GB,745.21,rare
C100000308,2022-09-07,US,104.3,never
C100000309,2023-06-30,CA,317.2,frequent
C100000310,2021-04-24,BR,316.79,never
C100000311,2021-04-15,IN,397.47,never
C100000312,2023-06-16,CA,342.73,frequent
C100000313,2022-10-26,DE,105.23,never
C100000314,2022-12-19,IN,63.44,never
C100000315,2021-05-04,AU,585.43,rare
C100000316,2021-01-22,NG,294.66,never
C100000317,2021-01-27,FR,772.3,never
C100000318,2020-03-30,DE,233.99,rare
C100000319,2020-11-28,US,60.03,rare
C100000320,2022-08-31,US,642.99,rare
C100000321,2023-07-01,GB,168.95,never
C100000322,2021-07-07,SG,344.47,rare
C100000323,2020-05-02,NG,128.07,rare
C100000324,2020-02-07,IN,1266.87,never
C100000325,2023-01-07,SG,101.84,never
C100000326,2022-12-29,GB,174.61,never
C100000327,2023-10-10,DE,272.45,rare
C100000328,2023-05-14,FR,82.09,never
C100000329,2021-09-30,CA,340.54,rare
C100000330,2021-10-12,NG,1226.49,frequent
C100000331,2022-06-20,AU,149.84,never
C100000332,2022-09-15,DE,363.27,rare
C100000333,2020-09-02,AU,15.65,never
C100000334,2022-02-13,US,235.35,never
C100000335,2020-10-03,DE,178.92,rare
C100000336,2020-02-24,BR,107.93,never
C100000337,2022-09-05,US,721.59,frequent
C100000338,2023-02-16,AU,176.58,rare
C100000339,2020-03-10,AU,204.9,never
C100000340,2021-06-08,BR,167.81,never
C100000341,2022-10-12,FR,35.99,never
C100000342,2021-06-26,US,78.89,frequent
C100000343,2021-11-26,NG,639.76,rare
C100000344,2020-05-17,BR,29.67,never
C100000345,2022-12-01,SG,113.71,rare
C100000346,2020-01-15,NG,164.07,rare
C100000347,2020-04-03,GB,1399.15,rare
C100000348,2023-03-19,GB,527.74,never
C100000349,2023-04-11,SG,140.17,never
C100000350,2021-10-31,GB,901.91,never
C100000351,2023-09-29,CA,116.69,never
C100000352,2022-10-01,GB,671.22,never
C100000353,2022-03-20,SG,62.87,never
C100000354,2020-02-15,CA,715.7,never
C100000355,2020-01-13,IN,163.02,never
C100000356,2023-04-30,US,87.49,never
C100000357,2020-06-05,AU,196.93,frequent
C100000358,2023-07-25,GB,322.9,rare
C100000359,2020-12-27,BR,149.19,never
C100000360,2020-08-10,CA,425.79,rare
C100000361,2020-06-07,SG,136.59,never
C100000362,2023-01-17,US,455.03,frequent
C100000363,2020-06-03,AU,380.78,rare
C100000364,2023-06-20,GB,230.23,never
C100000365,2021-11-21,SG,157.37,frequent
C100000366,2022-01-30,NG,284.73,rare
C100000367,2022-09-07,DE,424.22,rare
C100000368,2023-11-01,IN,1923.3,never
C100000369,2020-11-24,GB,626.04,never
C100000370,2022-08-10,CA,649.36,rare
C100000371,2021-04-30,DE,5369.62,never
C100000372,2022-04-25,FR,409.92,rare
C100000373,2022-06-16,BR,397.28,rare
C100000374,2020-06-13,NG,494.73,never
C100000375,2023-07-20,BR,89.21,never
C100000376,2021-01-13,BR,156.98,never
C100000377,2020-12-30,BR,147.5,never
C100000378,2022-06-07,AU,467.6,rare
C100000379,2022-11-22,FR,205.58,rare
C100000380,2023-11-25,AU,280.96,never
C100000381,2020-04-02,SG,725.93,rare
C100000382,2020-03-17,CA,580.07,rare
C100000383,2022-12-23,CA,208.15,rare
C100000384,2023-10-18,SG,125.21,never
C100000385,2023-06-10,DE,761.49,rare
C100000386,2023-08-28,SG,530.54,rare
C100000387,2020-08-31,SG,49.09,never
C100000388,2020-06-05,DE,178.9,rare
C100000389,2023-04-27,NG,288.74,frequent
C100000390,2020-12-30,DE,533.16,never
C100000391,2023-03-21,BR,607.96,rare
C100000392,2022-06-25,SG,325.03,frequent
C100000393,2021-07-28,GB,439.33,frequent
C100000394,2021-02-06,FR,260.9,never
C100000395,2020-06-30,SG,124.73,rare
C100000396,2023-09-29,IN,188.43,frequent
C100000397,2023-02-25,CA,249.38,rare
C100000398,2022-10-27,US,236.35,never
C100000399,2022-09-15,SG,37.13,never
C100000400,2020-01-05,AU,164.44,rare
C100000401,2020-11-16,CA,258.84,never
C100000402,2022-08-31,GB,184.68,never
C100000403,2020-02-12,CA,191.17,never
C100000404,2021-12-18,FR,398.61,rare
C100000405,2021-12-16,FR,83.18,never
C100000406,2022-03-22,FR,48.04,frequent
C100000407,2023-05-11,NG,172.75,rare
C100000408,2020-04-05,NG,525.38,frequent
C100000409,2023-11-13,IN,1322.86,frequent
C100000410,2023-03-28,US,534.93,never
C100000411,2023-01-08,CA,56.36,rare
C100000412,2022-10-29,DE,193.96,never
C100000413,2023-05-28,US,316.28,frequent
C100000414,2023-11-07,BR,292.24,never
C100000415,2021-04-07,IN,419.6,rare
C100000416,2020-02-15,NG,97.8,rare
C100000417,2023-06-11,AU,261.11,never
C100000418,2022-10-04,US,372.53,rare
C100000419,2021-12-08,DE,558.73,never
C100000420,2020-04-15,BR,109.32,never
C100000421,2021-03-15,SG,173.27,never
C100000422,2020-12-02,NG,16.38,never
C100000423,2021-08-24,FR,131.44,rare
C100000424,2022-04-15,NG,144.83,frequent
C100000425,2023-02-20,CA,88.27,never
C100000426,2020-07-15,IN,288.76,rare
C100000427,2020-10-09,AU,231.38,frequent
C100000428,2023-10-28,SG,25.55,rare
C100000429,2021-02-12,FR,303.54,never
C100000430,2023-08-04,DE,96.71,frequent
C100000431,2021-01-10,SG,397.7,never
C100000432,2020-09-07,DE,67.91,rare
C100000433,2023-05-29,FR,252.15,rare
C100000434,2022-03-22,DE,184.35,rare
C100000435,2023-06-09,NG,331.33,never
C100000436,2021-09-12,DE,277.19,never
C100000437,2020-04-15,NG,189.58,rare
C100000438,2023-08-09,CA,52.65,never
C100000439,2022-05-13,AU,55.86,never
C100000440,2020-02-10,CA,136.47,rare
C100000441,2022-09-28,US,242.67,rare
C100000442,2023-05-27,IN,133.19,never
C100000443,2022-01-03,DE,457.24,never
C100000444,2021-12-06,CA,185.08,frequent
C100000445,2021-04-29,SG,93.22,never
C100000446,2022-09-10,FR,185.29,never
C100000447,2020-03-06,BR,306.7,never
C100000448,2021-11-17,NG,338.62,never
C100000449,2022-10-19,IN,1600.99,frequent
C100000450,2020-02-28,IN,125.35,never
C100000451,2020-04-19,US,227.36,never
C100000452,2021-12-19,IN,374.7,rare
C100000453,2023-10-28,FR,239.03,never
C100000454,2021-08-01,AU,148.32,never
C100000455,2021-09-30,AU,51.97,frequent
C100000456,2023-05-05,SG,146.81,rare
C100000457,2021-06-09,US,83.62,never
C100000458,2020-08-17,AU,43.53,never
C100000459,2023-07-04,FR,110.42,never
C100000460,2021-02-01,IN,85.88,never
C100000461,2023-05-16,CA,438.69,rare
C100000462,2020-12-27,AU,446.34,rare
C100000463,2022-04-12,US,99.1,rare
C100000464,2023-11-23,FR,188.63,frequent
C100000465,2020-02-20,SG,38.16,never
C100000466,2023-04-09,BR,149.26,frequent
C100000467,2021-08-02,DE,364.67,rare
C100000468,2023-03-18,BR,558.32,never
C100000469,2020-04-07,AU,119.94,rare
C100000470,2021-01-11,DE,700.54,never
C100000471,2020-10-08,SG,53.75,rare
C100000472,2022-03-25,SG,70.27,rare
C100000473,2022-02-02,AU,497.53,never
C100000474,2021-06-08,DE,1301.3,frequent
C100000475,2020-11-05,DE,400.79,never
C100000476,2020-08-08,BR,235.02,rare
C100000477,2023-11-07,BR,27.24,never
C100000478,2021-04-28,IN,32.38,never
C100000479,2023-06-29,SG,278.5,never
C100000480,2022-10-17,SG,171.05,frequent
C100000481,2020-09-02,DE,80.98,never
C100000482,2022-12-09,SG,261.26,frequent
C100000483,2020-10-19,DE,274.55,never
C100000484,2022-02-08,IN,629.18,never
C100000485,2023-01-04,US,280.51,never
C100000486,2022-08-12,FR,835.8,never
C100000487,2021-11-03,CA,246.66,frequent
C100000488,2020-12-03,IN,218.04,never
C100000489,2021-07-19,SG,709.32,rare
C100000490,2020-04-07,GB,91.98,rare
C100000491,2020-07-10,NG,4082.43,rare
C100000492,2020-12-20,FR,356.12,rare
C100000493,2021-07-23,SG,358.11,frequent
C100000494,2022-10-14,CA,413.68,rare
C100000495,2022-04-22,BR,1599.0,rare
C100000496,2023-06-15,GB,540.51,rare
C100000497,2022-06-15,IN,49.15,rare
C100000498,2020-04-17,GB,995.72,never
C100000499,2022-04-02,IN,174.01,rare
C100000500,2023-06-23,US,272.37,never
C100000501,2021-05-14,NG,68.08,rare
C100000502,2020-02-25,FR,414.14,frequent
C100000503,2020-07-10,DE,127.56,frequent
C100000504,2022-11-06,US,270.47,rare
C100000505,2022-02-21,AU,184.18,rare
C100000506,2021-11-03,AU,1677.42,rare
C100000507,2022-12-13,AU,1776.25,never
C100000508,2022-11-13,US,256.34,never
C100000509,2022-12-29,FR,260.86,never
C100000510,2020-01-10,CA,168.44,never
C100000511,2020-12-31,BR,739.52,frequent
C100000512,2020-08-17,GB,176.1,frequent
C100000513,2020-09-21,GB,160.56,rare
C100000514,2020-03-01,DE,651.05,never
C100000515,2023-07-05,CA,142.84,rare
C100000516,2020-06-20,GB,235.63,never
C100000517,2023-08-29,CA,50.33,rare
C100000518,2022-01-22,NG,494.82,frequent
C100000519,2021-08-04,CA,1704.23,never
C100000520,2022-07-09,AU,503.32,never
C100000521,2023-05-07,FR,1055.53,never
C100000522,2023-03-03,AU,104.99,never
C100000523,2020-09-09,GB,309.92,never
C100000524,2022-09-03,DE,95.28,never
C100000525,2022-09-15,DE,194.85,never
C100000526,2020-04-21,GB,529.65,never
C100000527,2023-05-11,US,270.92,never
C100000528,2020-05-03,GB,59.58,rare
C100000529,2020-04-25,GB,65.69,never
C100000530,2021-07-30,FR,61.49,frequent
C100000531,2023-04-10,US,400.0,never
C100000532,2023-04-24,US,1927.34,never
C100000533,2022-10-21,CA,955.71,never
C100000534,2021-08-29,US,36.75,rare
C100000535,2023-04-27,US,1013.41,never
C100000536,2022-02-19,US,624.16,rare
C100000537,2023-06-20,GB,52.18,never
C100000538,2021-10-21,BR,180.69,frequent
C100000539,2023-11-02,AU,731.81,never
C100000540,2021-02-22,SG,424.3,never
C100000541,2023-09-14,BR,66.08,frequent
C100000542,2023-02-27,US,450.67,never
C100000543,2023-03-28,SG,28.86,never
C100000544,2020-08-31,US,195.82,rare
C100000545,2023-09-17,NG,763.53,never
C100000546,2022-03-29,IN,249.23,never
C100000547,2021-08-09,AU,148.57,never
C100000548,2021-11-25,FR,595.47,never
C100000549,2021-04-03,NG,648.56,frequent
C100000550,2020-10-10,IN,906.91,rare
C100000551,2022-05-19,BR,586.6,rare
C100000552,2020-09-04,CA,721.53,never
C100000553,2022-09-04,SG,509.23,rare
C100000554,2020-01-25,IN,319.11,rare
C100000555,2021-12-11,IN,267.6,never
C100000556,2021-01-14,SG,193.01,frequent
C100000557,2020-06-29,FR,72.79,rare
C100000558,2020-10-25,GB,94.13,rare
C100000559,2020-08-02,IN,184.56,never
C100000560,2021-10-26,US,311.52,never
C100000561,2023-10-01,GB,1033.61,rare
C100000562,2021-12-27,IN,234.68,rare
C100000563,2023-03-18,SG,667.46,never
C100000564,2020-06-09,SG,720.05,never
C100000565,2022-12-29,DE,194.13,rare
C100000566,2023-01-10,IN,443.5,never
C100000567,2022-12-11,GB,191.8,never
C100000568,2021-05-28,SG,917.94,rare
C100000569,2021-09-07,DE,462.13,never
C100000570,2020-03-16,SG,74.4,never
C100000571,2022-04-16,AU,287.59,never
C100000572,2022-10-25,NG,1271.7,frequent
C100000573,2023-09-23,FR,204.13,never
C100000574,2023-11-22,CA,382.88,rare
C100000575,2022-06-16,NG,422.37,frequent
C100000576,2020-04-18,NG,86.78,rare
C100000577,2021-11-14,AU,407.77,rare
C100000578,2020-06-03,AU,60.71,rare
C100000579,2023-07-10,US,130.89,never
C100000580,2023-07-22,AU,717.46,rare
C100000581,2020-08-28,SG,349.59,frequent
C100000582,2023-07-03,DE,180.46,rare
C100000583,2023-09-19,FR,382.4,never
C100000584,2022-05-04,SG,230.42,never
C100000585,2020-04-19,DE,247.79,frequent
C100000586,2021-03-22,IN,471.92,never
C100000587,2023-07-14,NG,118.23,rare
C100000588,2020-08-22,NG,254.76,never
C100000589,2020-08-13,CA,179.06,rare
C100000590,2020-10-14,GB,50.12,rare
C100000591,2020-05-21,DE,97.47,never
C100000592,2022-12-24,CA,1174.04,never
C100000593,2020-02-01,BR,359.5,rare
C100000594,2022-08-31,DE,65.13,never
C100000595,2020-10-12,DE,52.44,never
C100000596,2021-08-26,FR,218.73,rare
C100000597,2020-11-13,BR,1165.83,never
C100000598,2021-06-18,DE,203.01,rare
C100000599,2021-05-28,NG,904.15,never
C100000600,2021-07-04,IN,347.91,never
C100000601,2020-11-14,NG,392.0,frequent
C100000602,2021-01-10,GB,64.35,never
C100000603,2023-05-24,NG,624.86,never
C100000604,2020-09-07,CA,175.05,rare
C100000605,2021-10-27,GB,580.04,frequent
C100000606,2022-08-27,FR,108.4,rare
C100000607,2021-11-27,NG,292.09,rare
C100000608,2020-02-19,NG,347.93,never
C100000609,2020-07-24,NG,209.76,never
C100000610,2020-08-27,BR,366.7,frequent
C100000611,2022-02-09,NG,187.47,frequent
C100000612,2020-11-06,NG,127.86,rare
C100000613,2022-05-31,US,1218.63,never
C100000614,2021-03-26,SG,698.51,never
C100000615,2021-06-01,IN,114.34,never
C100000616,2022-12-10,US,432.01,frequent
C100000617,2022-11-16,IN,116.43,rare
C100000618,2023-09-06,IN,74.84,never
C100000619,2023-05-17,US,688.01,never
C100000620,2022-03-22,CA,44.52,never
C100000621,2022-01-18,DE,618.23,never
C100000622,2023-04-10,FR,190.05,rare
C100000623,2022-04-15,IN,198.04,rare
C100000624,2021-07-22,AU,368.61,never
C100000625,2023-01-04,SG,437.55,rare
C100000626,2022-08-06,SG,107.09,frequent
C100000627,2022-06-25,DE,501.56,never
C100000628,2021-12-10,AU,274.07,never
C100000629,2022-06-27,AU,69.68,never
C100000630,2021-01-13,IN,206.46,never
C100000631,2022-08-21,BR,973.87,rare
C100000632,2022-03-22,US,1308.45,rare
C100000633,2022-06-08,SG,501.37,never
C100000634,2023-03-16,CA,74.41,never
C100000635,2021-03-27,IN,399.66,frequent
C100000636,2022-12-31,BR,572.99,never
C100000637,2022-10-04,IN,505.58,rare
C100000638,2020-10-25,US,536.44,rare
C100000639,2020-03-16,NG,351.87,rare
C100000640,2021-04-17,SG,227.6,rare
C100000641,2020-05-01,CA,133.17,rare
C100000642,2020-07-29,CA,36.67,rare
C100000643,2022-01-14,IN,343.66,never
C100000644,2020-11-26,CA,294.73,never
